Universidad,Carrera,Enlace
The University of Queensland,Master of Computer Science,https://programs-courses.uq.edu.au/requirements/program/5522/2025
The University of Queensland,Master of Data Science,https://programs-courses.uq.edu.au/requirements/program/5660/2025
"University of California, Santa Barbara",Computer Science - MS,https://catalog.ucsb.edu/programs/MSCMPSC
Vanderbilt University,Computer Science,https://info.engineering.vanderbilt.edu/online/computer-science/curriculum?hsCtaTracking=40517244-4705-4016-8fa5-b7d66027974c%7C28efb986-fd0d-434e-9ad0-f8d4acc4d887
National University of Singapore,Master of Computing,https://www.comp.nus.edu.sg/wp-content/uploads/2024/11/Annex-A-MComp-InfoSec-Specialisation_Aug2023_updated-Nov-2024.pdf
University of Sydney,Master of Complex Systems,https://www.sydney.edu.au/courses/courses/pc/master-of-complex-systems0.html
University of Sydney,Master of Computer Science,https://www.sydney.edu.au/courses/courses/pc/master-of-computer-science.html
University of Sydney,Master of Cybersecurity,https://www.sydney.edu.au/courses/courses/pc/master-of-cybersecurity.html
University of Sydney,Master of Data Science,https://www.sydney.edu.au/courses/courses/pc/master-of-data-science0.html
McGill University,Computer Science (M.Sc.),https://www.cs.mcgill.ca/graduate/masters/mscnonthesis/
"University of California, Irvine",Computer Science,https://catalogue.uci.edu/donaldbrenschoolofinformationandcomputersciences/departmentofcomputerscience/computerscience_ms/
"University of California, Irvine",Informatics,https://catalogue.uci.edu/donaldbrenschoolofinformationandcomputersciences/departmentofinformatics/informatics_ms/
The University of New South Wales,Master of Information Technology,https://www.handbook.unsw.edu.au/postgraduate/programs/2025/8543
Monash University,Computer Science - Expert master's degree,https://online.monash.edu/online-courses/information-technology-courses/online-master-computer-science/
Uppsala University,Master's Programme in Computational Science,https://www.uu.se/en/study/outline?query=3580
Ghent University,Master of Computer Science Engineering,https://studiekiezer.ugent.be/2025/master-of-science-in-computer-science-engineering-en/programma
University of Pittsburgh,Computer Science,https://www.sci.pitt.edu/academics/masters-degrees/computer-science-ms
University of Pittsburgh,"Information Science, MS",https://www.sci.pitt.edu/academics/masters-degrees/information-science-ms
University of Pittsburgh,"Intelligent Systems, MS",https://www.sci.pitt.edu/academics/masters-degrees/intelligent-systems-ms
University of Bristol,MSc Computer Science,https://www.bris.ac.uk/unit-programme-catalogue/RouteStructure.jsa?ayrCode=25%2F26&byCohort=N&programmeCode=4COSC005T&_gl=1*wp5wip*_ga*MTY2OTc3MzIyOS4xNzQ4ODg4MzY1*_ga_6R8SPL3HLT*czE3NDg4ODgzNjAkbzEkZzEkdDE3NDg4ODgzODAkajUzJGwwJGgw
Jilin University,Master of Computer Application,https://ccst.jlu.edu.cn/info/1117/5983.htm
Jilin University,Master of Computer Science and Technology,https://ccst.jlu.edu.cn/info/1117/5984.htm
Jilin University,Master of Computer Software and Theory,https://ccst.jlu.edu.cn/info/1117/5982.htm
Jilin University,Master of Computer System Architecture,https://ccst.jlu.edu.cn/info/1117/5981.htm
Beijing Institute of Technology,Computer Science and Technology,https://grd.bit.edu.cn/docs/20180907061643866182.pdf
Southeast University,Computer Science and Technology,https://cse.seu.edu.cn/cse_en/2018/1222/c22817a257370/page.htm
Southeast University,"Maestría en Ciencia e Ingeniería de la Información (Measurement and Control, Information and Computer)",https://ins.seu.edu.cn/yk_english/2020/0219/c27506a317814/page.htm
Tianjin Universit,Master Program: Computer Technology,https://cic.tju.edu.cn/info/1144/2379.htm
Tianjin Universit,Master Degree of Software Engineering,https://cic.tju.edu.cn/info/1144/1281.htm
Tianjin Universit,Doctoral Program in Computer Application Technology,https://cic.tju.edu.cn/info/1144/2381.htm
Tianjin Universit,Doctoral Program in Software Engineering,https://cic.tju.edu.cn/info/1144/2380.htm
Boston University,MS in Systems Engineering,https://www.bu.edu/academics/eng/programs/systems-engineering/ms/
